jugador,posicion,seleccion,edad,anio_nacimiento,partidos_jugados,minutos,minutos_por_partido,pct_minutos_equipo,partidos_90,titularidades,minutos_por_titularidad,partidos_completos,apariciones_suplente,minutos_por_sustitucion,suplente_no_utilizado,puntos_por_partido,goles_favor_en_cancha,goles_contra_en_cancha,diferencial,diferencial_por90,diferencial_neto_con_sin,id_jugador,club,goles,asistencias,goles_mas_asistencias,goles_sin_penal,penales_anotados,penales_intentados,tarjetas_amarillas,tarjetas_rojas,goles_por90,asistencias_por90,goles_asist_por90,goles_sin_penal_por90,goles_asist_sin_penal_por90,disparos,disparos_arco,pct_disparos_arco,disparos_por90,disparos_arco_por90,goles_por_disparo,goles_por_disparo_arco,doble_amarilla,faltas_cometidas,faltas_recibidas,offsides,centros,intercepciones,entradas_ganadas,penales_ganados,penales_concedidos,autogoles,goles_recibidos,goles_recibidos_por90,disparos_arco_recibidos,atajadas,pct_atajadas,victorias_portero,empates_portero,derrotas_portero,arco_en_cero,pct_arco_en_cero,penales_enfrentados_portero,penales_recibidos_portero,penales_atajados,penales_fallados_rival,pct_atajadas_penales
Husam Abu Dahab,DF,Jordan,26,2000,2,178.0,89.0,65.9,2.0,2,89.0,0,0,,1,0.0,2.0,5.0,-3.0,-1.52,0.44,300aaeb6,Al-Salmiya SC,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,2.0,1.0,0.0,0.0,0.0,3.0,,,0.0,,,,,,,,,,,,,,,
Mohammad Abu Hasheesh,DF,Jordan,31,1995,1,6.0,6.0,2.2,0.1,0,,0,1,6.0,2,0.0,0.0,0.0,0.0,0.0,1.7,72c2fa7a,Al-Karma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,0.0,,,,,,,,,,,,,,,
Mohannad Abu Taha,DF,Jordan,23,2003,3,264.0,88.0,97.8,2.9,3,88.0,2,0,,0,0.0,3.0,8.0,-5.0,-1.7,-1.7,5c4bac6c,Al-Quwa Al-Jawiya,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.34,0.0,0.0,,0.0,2.0,1.0,0.0,5.0,6.0,2.0,,,0.0,,,,,,,,,,,,,,,
Mo Abualnadi,DF,Jordan,25,2001,1,71.0,71.0,26.3,0.8,1,71.0,0,0,,2,0.0,1.0,1.0,0.0,0.0,2.26,4bff62e4,Selangor FA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,
Yazeed Abulaila,GK,Jordan,33,1993,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.0,3.0,8.0,-5.0,-1.67,,5d11fc17,Al-Hussein SC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,8.0,2.67,16.0,8.0,50.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0
Mahmoud Abunada,GK,Qatar,26,2000,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.33,2.0,10.0,-8.0,-2.67,,27e7e545,Al Rayyan SC,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,1.0,10.0,3.33,22.0,12.0,54.5,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Carlos Acevedo,GK,Mexico,30,1996,0,,,,,0,,0,0,,5,,,,,,,0810e384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elias Achouri,FWMF,Tunisia,27,1999,3,43.0,14.0,15.9,0.5,0,,0,3,14.0,0,0.0,0.0,2.0,-2.0,-4.19,-1.01,4dd2a0be,FC Copenhagen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,33.3,6.28,2.09,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,,,0.0,,,,,,,,,,,,,,,
Ché Adams,FW,Scotland,29,1996,3,145.0,48.0,53.7,1.6,2,72.0,0,1,1.0,0,1.0,1.0,1.0,0.0,0.0,2.16,f2bf1b0f,Torino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.62,0.62,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,
Jayden Adams,MF,South Africa,25,2001,3,116.0,39.0,32.2,1.3,2,53.0,0,1,11.0,1,1.33,0.0,2.0,-2.0,-1.55,-1.55,259affab,Sundowns,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,0.0,,,,,,,,,,,,,,,
Tyler Adams,MF,United States,27,1999,4,341.0,85.0,75.8,3.8,4,85.0,3,0,,1,2.25,9.0,4.0,5.0,1.32,2.97,2b09d998,Bournemouth,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,5.0,6.0,0.0,0.0,8.0,5.0,,,0.0,,,,,,,,,,,,,,,
Ricardo Adé,DF,Haiti,36,1990,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.0,2.0,8.0,-6.0,-2.0,,a9ee5e81,LDU Quito,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,25.0,1.33,0.33,0.0,0.0,0.0,6.0,4.0,0.0,1.0,5.0,2.0,,,0.0,,,,,,,,,,,,,,,
Ibrahim Adel,MF,Egypt,25,2001,1,3.0,3.0,0.6,0.0,0,,0,1,3.0,4,1.0,0.0,0.0,0.0,0.0,-0.19,4869216e,Nordsjælland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,
Simon Adingra,FWMF,Côte d'Ivoire,24,2002,1,16.0,16.0,4.4,0.2,0,,0,1,16.0,3,0.0,0.0,1.0,-1.0,-5.63,-6.15,4dcec659,Monaco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,
Jonas Adjetey,DF,Ghana,22,2003,3,225.0,75.0,62.5,2.5,3,75.0,2,0,,1,1.33,1.0,1.0,0.0,0.0,0.67,bdbf78cd,Wolfsburg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,0.8,0.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,,,0.0,,,,,,,,,,,,,,,
Michel Aebischer,MFFW,Switzerland,29,1997,4,156.0,39.0,26.0,1.7,2,68.0,0,2,11.0,1,2.5,1.0,1.0,0.0,0.0,-0.81,f9c927de,Pisa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,1.15,0.58,0.0,0.0,0.0,3.0,2.0,0.0,6.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,
David Affengruber,DF,Austria,25,2001,0,,,,,0,,0,0,,4,,,,,,,4b00cd47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akram Afif,FWMF,Qatar,29,1996,3,238.0,79.0,88.1,2.6,3,79.0,2,0,,0,0.33,2.0,7.0,-5.0,-1.89,6.55,fd53d9e7,Al Sadd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.76,0.0,0.0,,0.0,0.0,4.0,2.0,11.0,0.0,1.0,,,0.0,,,,,,,,,,,,,,,
Emmanuel Agbadou,DF,Côte d'Ivoire,28,1997,3,270.0,90.0,75.0,3.0,3,90.0,3,0,,1,1.0,3.0,4.0,-1.0,-0.33,-2.33,75f1ed80,Beşiktaş,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,33.3,1.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,,,0.0,,,,,,,,,,,,,,,
Rodrigo Aguirre,FW,Uruguay,31,1994,1,1.0,1.0,0.4,0.0,0,,0,1,1.0,2,1.0,0.0,0.0,0.0,0.0,0.33,b5691f5d,América,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,
Ali Ahmed,MF,Canada,25,2000,4,234.0,59.0,52.0,2.6,3,68.0,0,1,30.0,1,1.0,5.0,3.0,2.0,0.77,0.35,540a5be1,Norwich City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,0.77,0.38,0.0,0.0,0.0,1.0,5.0,0.0,13.0,3.0,2.0,,,0.0,,,,,,,,,,,,,,,
Homam Ahmed,DF,Qatar,26,1999,2,122.0,61.0,45.2,1.4,2,61.0,1,0,,0,0.5,1.0,3.0,-2.0,-1.48,2.17,a62fa158,Cultural Leonesa,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.74,0.74,0.0,0.74,1.0,0.0,0.0,0.74,0.0,0.0,,0.0,4.0,0.0,0.0,3.0,3.0,1.0,,,0.0,,,,,,,,,,,,,,,
Rayan Aït-Nouri,DF,Algeria,25,2001,4,284.0,71.0,78.9,3.2,3,88.0,2,1,20.0,0,1.0,3.0,7.0,-4.0,-1.27,-1.27,9b398aea,Manchester City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.32,0.0,0.0,,0.0,6.0,4.0,0.0,8.0,5.0,13.0,,,0.0,,,,,,,,,,,,,,,
Kristoffer Ajer,DF,Norway,28,1998,5,480.0,96.0,84.2,5.3,5,96.0,5,0,,1,2.4,12.0,7.0,5.0,0.94,3.94,a8c0acb7,Brentford,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,50.0,0.37,0.19,0.0,0.0,0.0,2.0,1.0,0.0,1.0,4.0,8.0,,,0.0,,,,,,,,,,,,,,,
Manuel Akanji,DF,Switzerland,30,1995,6,600.0,100.0,100.0,6.7,6,100.0,6,0,,0,1.83,10.0,6.0,4.0,0.6,,89ac64a6,Inter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,100.0,0.15,0.15,0.0,0.0,0.0,4.0,4.0,0.0,0.0,6.0,9.0,,,0.0,,,,,,,,,,,,,,,
Samet Akaydın,DF,Türkiye,32,1994,0,,,,,0,,0,0,,3,,,,,,,7328bee5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nathan Aké,DF,Netherlands,31,1995,3,170.0,57.0,43.6,1.9,2,80.0,1,1,10.0,1,1.67,3.0,2.0,1.0,0.53,-1.52,eaeca114,Manchester City,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.53,0.0,0.0,,0.0,2.0,2.0,0.0,1.0,4.0,0.0,,,0.0,,,,,,,,,,,,,,,
