Rk,Player,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches,-9999
33,Rayan Aït-Nouri,DF,dz Algeria,25,2001,4,284,71,78.9,3.2,3,88,2,1,20,0,1.00,3,7,-4,-1.27,-1.27,Matches,9b398aea
34,Kristoffer Ajer,DF,no Norway,28,1998,5,480,96,84.2,5.3,5,96,5,0,,1,2.40,12,7,+5,+0.94,+3.94,Matches,a8c0acb7
35,Manuel Akanji,DF,ch Switzerland,30,1995,6,600,100,100.0,6.7,6,100,6,0,,0,1.83,10,6,+4,+0.60,,Matches,89ac64a6
36,Samet Akaydın,DF,tr Türkiye,32,1994,0,,,,,0,,0,0,,3,,,,,,,Matches,7328bee5
37,Nathan Aké,DF,nl Netherlands,31,1995,3,170,57,43.6,1.9,2,80,1,1,10,1,1.67,3,2,+1,+0.53,-1.52,Matches,eaeca114
38,Yunus Akgün,MF,tr Türkiye,25,2000,2,88,44,32.6,1.0,1,59,0,1,29,1,0.00,0,2,-2,-2.05,-2.05,Matches,1453e3cf
39,Maghnes Akliouche,MF,fr France,24,2002,1,8,8,1.1,0.1,0,,0,1,8,7,3.00,0,0,0,0.00,-1.26,Matches,b625b241
40,Kerem Aktürkoğlu,FW,tr Türkiye,27,1998,2,129,65,47.8,1.4,2,65,0,0,,1,0.00,0,3,-3,-2.09,-2.73,Matches,f28659fb
41,Mohamed Alaa,GK,eg Egypt,27,1999,0,,,,,0,,0,0,,5,,,,,,,Matches,83ba02b3
42,Tarek Alaa,DF,eg Egypt,24,2002,0,,,,,0,,0,0,,5,,,,,,,Matches,bf73f76b
43,Ahmed Alaaeldin,FW,qa Qatar,33,1993,2,43,22,15.9,0.5,0,,0,2,22,1,0.50,1,1,0,0.00,+3.17,Matches,74fbbb3c
44,David Alaba,DF,at Austria,33,1992,4,275,69,76.4,3.1,4,69,1,0,,0,1.00,3,7,-4,-1.31,-2.37,Matches,05439de2
45,Kerim Alajbegović,MF,ba Bosnia–Herz,18,2007,4,277,69,76.9,3.1,3,87,1,1,17,0,1.00,3,7,-4,-1.30,-2.38,Matches,f3d9291e
46,Jordy Alcivar,MF,ec Ecuador,26,1999,1,45,45,12.5,0.5,1,45,0,0,,3,1.00,0,0,0,0.00,+0.57,Matches,6e98c19f
47,Omar Alderete,DF,py Paraguay,29,1996,4,320,80,66.7,3.6,4,80,2,0,,1,1.00,2,4,-2,-0.56,0.00,Matches,bb08bce9
48,Almoez Ali,FW,qa Qatar,29,1996,1,19,19,7.0,0.2,0,,0,1,19,2,0.00,0,1,-1,-4.74,-2.23,Matches,bae045a9
49,Hussein Ali,DF,iq Iraq,24,2002,2,162,81,60.0,1.8,2,81,1,0,,1,0.00,1,5,-4,-2.22,+3.61,Matches,b8a919ad
50,Mohanad Ali,FW,iq Iraq,25,2000,1,13,13,4.8,0.1,0,,0,1,13,2,0.00,0,1,-1,-6.92,-3.42,Matches,f929049b
51,Taha Ali,FWMF,se Sweden,27,1998,2,37,19,10.3,0.4,0,,0,2,19,2,0.00,0,2,-2,-4.86,-4.59,Matches,da4b8a4e
52,Khojiakbar Alijonov,MF,uz Uzbekistan,29,1997,2,135,68,50.0,1.5,1,90,1,1,45,1,0.00,1,5,-4,-2.67,+0.67,Matches,e53cbd7a
53,Ali Alipour,FW,ir IR Iran,30,1995,1,38,38,14.1,0.4,0,,0,1,38,2,1.00,1,1,0,0.00,0.00,Matches,488ee64c
54,Alisson,GK,br Brazil,33,1992,5,450,90,100.0,5.0,5,90,5,0,,0,2.00,10,4,+6,+1.20,,Matches,7a2e46a8
55,Thiago Almada,MF,ar Argentina,25,2001,5,241,48,29.8,2.7,3,60,0,2,31,3,3.00,6,1,+5,+1.87,+0.92,Matches,27f33438
56,Miguel Almirón,MFFW,py Paraguay,32,1994,4,282,71,58.8,3.1,4,71,0,0,,0,1.00,3,5,-2,-0.64,-0.18,Matches,862a1c15
57,Júnior Alonso,DF,py Paraguay,33,1993,5,390,78,81.3,4.3,4,97,3,1,1,0,1.00,3,6,-3,-0.69,-0.69,Matches,b18a3023
58,Barış Alper Yılmaz,MFFW,tr Türkiye,26,2000,3,179,60,66.3,2.0,2,67,0,1,45,0,1.00,2,3,-1,-0.50,+0.49,Matches,414b2ce4
59,Roberto Alvarado,FWMF,mx Mexico,27,1998,5,428,86,95.1,4.8,5,86,3,0,,0,2.40,10,3,+7,+1.47,+1.47,Matches,ff871e14
60,Edson Álvarez,MFDF,mx Mexico,28,1997,4,240,60,53.3,2.7,2,90,2,2,30,1,2.25,5,1,+4,+1.50,+0.21,Matches,8b3ab7ad
61,Julián Álvarez,FW,ar Argentina,26,2000,8,602,75,74.3,6.7,5,96,2,3,40,0,2.63,15,6,+9,+1.35,+0.48,Matches,15ab5a2b
62,Ayoube Amaimouni,MF,ma Morocco,21,2004,2,18,9,3.2,0.2,0,,0,2,9,4,2.00,0,0,0,0.00,-0.65,Matches,c5a07a5e
63,Zeki Amdouni,FWMF,ch Switzerland,25,2000,4,73,18,12.2,0.8,0,,0,4,18,2,1.25,0,3,-3,-3.70,-4.89,Matches,2ee5b0c9
64,Aurèle Amenda,DF,ch Switzerland,22,2003,0,,,,,0,,0,0,,6,,,,,,,Matches,1227a22d
65,Mohamed Amine Tougai,DF,dz Algeria,26,2000,0,,,,,0,,0,0,,4,,,,,,,Matches,ca9f89a4
66,Michael Amir Murillo,DFMF,pa Panama,30,1996,3,270,90,100.0,3.0,3,90,3,0,,0,0.00,0,4,-4,-1.33,,Matches,349cae8f
67,Nadiem Amiri,MF,de Germany,29,1996,2,42,21,10.8,0.5,0,,0,2,21,2,2.00,2,0,+2,+4.29,+3.25,Matches,555d5edd
68,Amir Al Ammari,MF,iq Iraq,28,1997,3,247,82,91.5,2.7,3,82,2,0,,0,0.00,1,12,-11,-4.01,-4.01,Matches,9f65be73
69,Azizbek Amonov,FW,uz Uzbekistan,28,1997,1,14,14,5.2,0.2,0,,0,1,14,2,0.00,0,1,-1,-6.43,-3.62,Matches,f487314f
70,Mohamed Amoura,FWMF,dz Algeria,26,2000,1,27,27,7.5,0.3,0,,0,1,27,0,0.00,0,1,-1,-3.33,-2.52,Matches,6597f8b6
71,Sofyan Amrabat,MF,ma Morocco,29,1996,3,147,49,25.8,1.6,1,90,1,2,29,3,2.00,6,3,+3,+1.84,+1.62,Matches,5a2cb25d
72,Abdulelah Al-Amri,DF,sa Saudi Arabia,29,1997,3,239,80,88.5,2.7,3,80,2,0,,0,0.67,1,5,-4,-1.51,-1.51,Matches,fd0affe3
73,Youssef Amyn,MF,iq Iraq,22,2003,1,31,31,11.5,0.3,0,,0,1,31,2,0.00,0,1,-1,-2.90,+0.86,Matches,10c12f22
74,Joseph Anang,GK,gh Ghana,26,2000,0,,,,,0,,0,0,,4,,,,,,,Matches,21a866b7
75,Elliot Anderson,MF,eng England,23,2002,8,632,79,84.3,7.0,7,89,4,1,12,0,2.38,16,9,+7,+1.00,+0.23,Matches,de31038e
76,Andrés Andrade Cedeño,DF,pa Panama,27,1998,3,270,90,100.0,3.0,3,90,3,0,,0,0.00,0,4,-4,-1.33,,Matches,6ea23758
77,Fredrik André Bjørkan,DF,no Norway,27,1998,1,45,45,7.9,0.5,1,45,0,0,,5,0.00,1,3,-2,-4.00,-4.69,Matches,3724baa1
78,Nilson Angulo,MF,ec Ecuador,22,2003,4,218,55,60.6,2.4,2,81,0,2,28,0,1.00,2,4,-2,-0.83,-0.83,Matches,a9b9d89c
79,Waldemar Anton,DFMF,de Germany,29,1996,2,50,25,12.8,0.6,0,,0,2,25,2,2.00,1,0,+1,+1.80,+0.48,Matches,5e66fa06
80,Jeremy Antonisse,FWMF,cw Curaçao,24,2002,2,75,38,27.8,0.8,0,,0,2,38,1,0.00,0,5,-5,-6.00,-4.62,Matches,6011e63a
81,Houssem Aouar,MF,dz Algeria,27,1998,3,173,58,48.1,1.9,2,73,0,1,27,1,0.33,2,5,-3,-1.56,-1.08,Matches,a5db0bec
82,Oswin Appollis,MFFW,za South Africa,24,2001,4,255,64,70.8,2.8,3,80,2,1,14,0,1.00,1,2,-1,-0.35,+0.50,Matches,e8933eb0
83,Nawaf Al Aqidi,GK,sa Saudi Arabia,26,2000,0,,,,,0,,0,0,,3,,,,,,,Matches,70f3a9d1
84,Yazan Al-Arab,DF,jo Jordan,30,1996,3,270,90,100.0,3.0,3,90,3,0,,0,0.00,3,8,-5,-1.67,,Matches,32878a09
85,Maxi Araújo,FWMF,uy Uruguay,26,2000,3,250,83,92.6,2.8,3,83,1,0,,0,0.67,3,4,-1,-0.36,-0.36,Matches,f9ab3f4a
86,Ronald Araújo,DF,uy Uruguay,27,1999,0,,,,,0,,0,0,,1,,,,,,,Matches,2bef2bca
87,Tomás Araújo,DF,pt Portugal,24,2002,1,90,90,20.0,1.0,1,90,1,0,,4,1.00,1,1,0,0.00,-1.25,Matches,0fa11d7d
88,Telmo Arcanjo,MF,cv Cabo Verde,24,2001,2,57,29,14.6,0.6,1,45,0,1,12,1,1.00,1,2,-1,-1.58,-1.58,Matches,c692cef2
89,Álex Arce,FW,py Paraguay,30,1995,2,53,27,11.0,0.6,0,,0,2,27,3,0.50,1,1,0,0.00,+0.63,Matches,10411db2
90,Carlens Arcus,MFDF,ht Haiti,29,1996,3,146,49,54.1,1.6,2,68,1,1,11,0,0.00,0,5,-5,-3.08,-2.36,Matches,5e837126
91,Jeremy Arévalo,FW,ec Ecuador,21,2005,0,,,,,0,,0,0,,4,,,,,,,Matches,70676088
92,Max Arfsten,MF,us United States,25,2001,1,1,1,0.2,0.0,0,,0,1,1,4,0.00,0,1,-1,-90.00,-90.80,Matches,668f881e
93,Jhon Arias,MF,co Colombia,28,1997,5,377,75,78.5,4.2,5,75,0,0,,0,2.20,4,1,+3,+0.72,-0.16,Matches,86d96066
94,Santiago Arias,DF,co Colombia,34,1992,1,86,86,17.9,1.0,1,86,0,0,,4,1.00,0,0,0,0.00,-0.91,Matches,fdd60087
95,Marko Arnautović,FW,at Austria,37,1989,4,144,36,40.0,1.6,1,45,0,3,33,0,1.00,3,5,-2,-1.25,-0.83,Matches,00459419
96,Adem Arous,DF,tn Tunisia,21,2004,0,,,,,0,,0,0,,2,,,,,,,Matches,9fce7801
97,Giorgian de Arrascaeta,FWMF,uy Uruguay,32,1994,0,,,,,0,,0,0,,1,,,,,,,Matches,be8d02dd
98,Benjamin Asare,GK,gh Ghana,33,1992,3,225,75,62.5,2.5,2,90,2,1,45,1,1.33,2,2,0,0.00,+0.67,Matches,4bb65492
99,Emam Ashour,MF,eg Egypt,28,1998,5,362,72,75.4,4.0,5,72,1,0,,0,1.20,7,4,+3,+0.75,+2.27,Matches,31b7d437
100,Rustam Ashurmatov,DF,uz Uzbekistan,29,1996,3,256,85,94.8,2.8,3,85,2,0,,0,0.00,2,10,-8,-2.81,+3.62,Matches,a0ecd397
101,Lawrence Ati-Zigi,GK,gh Ghana,29,1996,2,135,68,37.5,1.5,2,68,1,0,,2,1.50,0,1,-1,-0.67,-0.67,Matches,a12402c3
102,Marwan Attia,MF,eg Egypt,27,1998,5,434,87,90.4,4.8,4,97,3,1,45,0,1.20,7,6,+1,+0.21,+0.21,Matches,1ea3d7ec
103,Fredrik Aursnes,MFDF,no Norway,30,1995,6,304,51,53.3,3.4,3,69,1,3,32,0,2.00,7,7,0,0.00,-0.68,Matches,f0677ed7
104,Gabriel Ávalos,FW,py Paraguay,35,1990,4,141,35,29.4,1.6,2,60,0,2,11,1,1.25,1,1,0,0.00,+0.80,Matches,b6781b67
105,Khalil Ayari,FW,tn Tunisia,21,2005,0,,,,,0,,0,0,,3,,,,,,,Matches,9370f210
106,Yasin Ayari,MF,se Sweden,22,2003,4,339,85,94.2,3.8,4,85,2,0,,0,1.00,7,9,-2,-0.53,+3.75,Matches,f173303a
107,Oğuz Aydın,DF,tr Türkiye,25,2000,1,89,89,33.0,1.0,1,89,0,0,,2,3.00,2,2,0,0.00,+0.99,Matches,a7b98226
108,Rajaei Ayed,MF,jo Jordan,32,1993,0,,,,,0,,0,0,,3,,,,,,,Matches,b71e02c7
109,Jordan Ayew,FW,gh Ghana,34,1991,4,300,75,83.3,3.3,4,75,0,0,,0,1.00,0,2,-2,-0.60,-2.10,Matches,da052c14
110,Kaan Ayhan,DFMF,tr Türkiye,31,1994,1,3,3,1.1,0.0,0,,0,1,3,2,3.00,1,0,+1,+30.00,+31.01,Matches,2200181e
111,Neil El Aynaoui,MF,ma Morocco,24,2001,6,562,94,98.6,6.2,6,94,5,0,,0,1.83,9,6,+3,+0.48,-10.77,Matches,17e1261b
112,Ali Azaizeh,MF,jo Jordan,22,2004,3,54,18,20.0,0.6,1,45,0,2,5,0,0.00,0,3,-3,-5.00,-4.17,Matches,3a46ac67
113,Juninho Bacuna,MF,cw Curaçao,28,1997,3,254,85,94.1,2.8,3,85,2,0,,0,0.33,1,9,-8,-2.83,-2.83,Matches,aaf1bf05
114,Leandro Bacuna,MF,cw Curaçao,34,1991,3,270,90,100.0,3.0,3,90,3,0,,0,0.33,1,9,-8,-2.67,,Matches,9dc69d38
115,Anas Badawi,DF,jo Jordan,28,1997,0,,,,,0,,0,0,,3,,,,,,,Matches,3f4b7442
116,Álex Baena,MFFW,es Spain,24,2001,7,481,69,64.1,5.3,7,69,0,0,,1,3.00,10,1,+9,+1.68,+0.35,Matches,518f2234
117,Esmir Bajraktarevic,MF,ba Bosnia–Herz,21,2005,4,230,58,63.9,2.6,2,82,1,2,34,0,1.00,5,6,-1,-0.39,+0.99,Matches,dff24174
118,Cédric Bakambu,FW,cd Congo DR,35,1991,3,190,63,52.8,2.1,3,63,0,0,,1,1.33,1,2,-1,-0.47,-1.00,Matches,0af4dcf0
119,Fabián Balbuena,DF,py Paraguay,34,1991,1,1,1,0.2,0.0,0,,0,1,1,4,1.00,0,0,0,0.00,+0.56,Matches,3626f7d9
120,Folarin Balogun,FW,us United States,24,2001,4,312,78,69.3,3.5,4,78,0,0,,1,2.25,7,3,+4,+1.15,+1.81,Matches,31822f8c
121,Nour Bani Attiah,GK,jo Jordan,33,1993,0,,,,,0,,0,0,,3,,,,,,,Matches,b06f02f9
122,Simon Banza,FWMF,cd Congo DR,29,1996,2,40,20,11.1,0.4,0,,0,2,20,2,0.50,0,1,-1,-2.25,-2.53,Matches,be47b750
123,Kosta Barbarouses,FWMF,nz New Zealand,36,1990,0,,,,,0,,0,0,,3,,,,,,,Matches,b2bef13f
124,Yoel Bárcenas,MF,pa Panama,32,1993,3,249,83,92.2,2.8,3,83,1,0,,0,0.00,0,4,-4,-1.45,-1.45,Matches,b39849eb
125,Valentín Barco,DFMF,ar Argentina,21,2004,1,20,20,2.5,0.2,0,,0,1,20,7,3.00,1,0,+1,+4.50,+3.36,Matches,b9f282ec
126,Bradley Barcola,MF,fr France,23,2002,8,384,48,53.3,4.3,4,72,1,4,24,0,2.25,13,4,+9,+2.11,+1.84,Matches,a0d55a09
127,Abdülkerim Bardakcı,DF,tr Türkiye,31,1994,3,265,88,98.1,2.9,3,88,2,0,,0,1.00,3,5,-2,-0.68,-0.68,Matches,5d9cff53
128,Meshaal Barsham,GK,qa Qatar,28,1998,0,,,,,0,,0,0,,3,,,,,,,Matches,8d3e92e0
129,Ivan Bašić,MF,ba Bosnia–Herz,24,2002,3,179,60,49.7,2.0,2,76,1,1,28,1,1.33,5,5,0,0.00,+1.49,Matches,9b0a0d51
130,Ahmed Basil,GK,iq Iraq,29,1996,2,135,68,50.0,1.5,2,68,1,0,,1,0.00,0,4,-4,-2.67,+2.00,Matches,3bf9e631
131,Dylan Batubinsika,DF,cd Congo DR,30,1996,0,,,,,0,,0,0,,4,,,,,,,Matches,37d39918
132,Martin Baturina,MFFW,hr Croatia,23,2003,4,321,80,89.2,3.6,4,80,1,0,,0,1.50,6,5,+1,+0.28,+4.90,Matches,d1eda5f0
133,Oliver Baumann,GK,de Germany,36,1990,0,,,,,0,,0,0,,4,,,,,,,Matches,47064058
134,Ibrahim Bayesh,MFFW,iq Iraq,26,2000,3,235,78,87.0,2.6,3,78,1,0,,0,0.00,1,11,-10,-3.83,-1.26,Matches,2f2003ba
135,Altay Bayındır,GK,tr Türkiye,28,1998,0,,,,,0,,0,0,,3,,,,,,,Matches,072e68ed
136,Lachlan Bayliss,MF,nz New Zealand,23,2002,0,,,,,0,,0,0,,3,,,,,,,Matches,68e991fc
137,Samed Baždar,FW,ba Bosnia–Herz,22,2004,1,29,29,8.1,0.3,0,,0,1,29,3,1.00,0,1,-1,-3.10,-2.56,Matches,e59c9d0d
138,Riechedly Bazoer,DF,cw Curaçao,29,1996,1,90,90,33.3,1.0,1,90,1,0,,2,0.00,1,7,-6,-6.00,-5.00,Matches,da59a197
139,Patrick Beach,GK,au Australia,22,2003,4,388,97,99.5,4.3,4,97,3,0,,0,1.25,3,3,0,0.00,0.00,Matches,3cc64624
140,Aziz Behich,MF,au Australia,35,1990,3,217,72,55.6,2.4,2,105,2,1,7,1,1.67,1,1,0,0.00,0.00,Matches,b6867b96
141,Maximilian Beier,FWMF,de Germany,23,2002,1,27,27,6.9,0.3,0,,0,1,27,3,0.00,0,1,-1,-3.33,-5.07,Matches,5db45ee5
142,Alireza Beiranvand,GK,ir IR Iran,33,1992,3,270,90,100.0,3.0,3,90,3,0,,0,1.00,3,3,0,0.00,,Matches,6ca0b04a
143,Zineddine Belaïd,DF,dz Algeria,27,1999,2,25,13,6.9,0.3,0,,0,2,13,2,2.00,1,1,0,0.00,+1.07,Matches,b2562589
144,Youssef Belammari,DF,ma Morocco,27,1998,0,,,,,0,,0,0,,6,,,,,,,Matches,67fe537d
145,Rafik Belghali,DF,dz Algeria,24,2002,4,331,83,91.9,3.7,4,83,2,0,,0,1.00,4,8,-4,-1.09,-1.09,Matches,0abcb968
146,Joe Bell,MF,nz New Zealand,27,1999,3,243,81,90.0,2.7,3,81,2,0,,0,0.33,3,7,-4,-1.48,+5.19,Matches,7825847e
147,Jean-Ricner Bellegarde,MF,ht Haiti,27,1998,3,260,87,96.3,2.9,3,87,2,0,,0,0.00,2,8,-6,-2.08,-2.08,Matches,10f0fdd3
148,Jude Bellingham,MF,eng England,22,2003,8,614,77,81.9,6.8,7,86,3,1,12,0,2.38,15,9,+6,+0.88,-0.44,Matches,57d88cf9
149,Sabri Ben Hassen,GK,tn Tunisia,30,1996,0,,,,,0,,0,0,,3,,,,,,,Matches,ab8ef45d
150,Mortadha Ben Ouanes,DFMF,tn Tunisia,31,1994,1,23,23,8.5,0.3,0,,0,1,23,2,0.00,0,0,0,0.00,+3.64,Matches,1798891a
151,Anis Ben Slimane,MFFW,tn Tunisia,25,2001,3,240,80,88.9,2.7,3,80,1,0,,0,0.00,2,11,-9,-3.38,-0.38,Matches,9ade9ce1
152,Oussama Benbot,GK,dz Algeria,31,1994,1,90,90,25.0,1.0,1,90,1,0,,3,1.00,3,3,0,0.00,+1.33,Matches,dcae580c
153,Nadhir Benbouali,FW,dz Algeria,26,2000,1,45,45,12.5,0.5,0,,0,1,45,2,3.00,2,0,+2,+4.00,+5.71,Matches,cd25f2b3
154,Gilson Benchimol,FW,cv Cabo Verde,24,2001,2,78,39,20.0,0.9,1,57,0,1,21,2,0.50,2,3,-1,-1.15,-1.15,Matches,eae26fce
155,Ramy Bensebaini,DF,dz Algeria,31,1995,4,360,90,100.0,4.0,4,90,4,0,,0,1.00,5,9,-4,-1.00,,Matches,378825c7
156,Nabil Bentaleb,MF,dz Algeria,31,1994,4,285,71,79.2,3.2,3,80,1,1,45,0,1.00,5,8,-3,-0.95,+0.25,Matches,3189f61a
157,Rodrigo Bentancur,MF,uy Uruguay,28,1997,3,270,90,100.0,3.0,3,90,3,0,,0,0.67,3,4,-1,-0.33,,Matches,3b8674e6
158,Patrick Berg,MF,no Norway,28,1997,6,445,74,78.1,4.9,4,98,4,2,28,0,2.00,9,10,-1,-0.20,-2.36,Matches,e4114f5d
159,Sander Berge,MF,no Norway,28,1998,5,480,96,84.2,5.3,5,96,5,0,,1,2.40,12,7,+5,+0.94,+3.94,Matches,d0b6129f
160,Lucas Bergvall,MF,se Sweden,20,2006,4,181,45,50.3,2.0,1,65,0,3,39,0,1.00,4,4,0,0.00,+1.51,Matches,a109e5c8
161,Sebastian Berhalter,MF,us United States,25,2001,5,187,37,41.6,2.1,1,90,1,4,24,0,1.80,3,5,-2,-0.96,-2.67,Matches,f33ee427
162,Alexander Bernhardsson,MF,se Sweden,27,1998,3,217,72,60.3,2.4,3,72,0,0,,1,1.33,5,6,-1,-0.41,+0.84,Matches,dea1d183
163,Tyler Bindon,DF,nz New Zealand,21,2005,3,97,32,35.9,1.1,1,90,1,2,4,0,0.33,1,5,-4,-3.71,-2.67,Matches,3575e5eb
164,César Blackman,MFDF,pa Panama,28,1998,2,178,89,65.9,2.0,2,89,0,0,,1,0.00,0,1,-1,-0.51,+2.43,Matches,c2b11050
165,Augustine Boakye,FWMF,gh Ghana,25,2000,0,,,,,0,,0,0,,4,,,,,,,Matches,59e9edb5
166,Damián Bobadilla,MF,py Paraguay,24,2001,4,189,47,39.4,2.1,2,72,0,2,23,1,1.25,1,4,-3,-1.43,-1.43,Matches,ad7d6437
167,Oscar Bobb,FW,no Norway,22,2003,6,225,38,39.5,2.5,1,82,0,5,29,0,2.00,6,7,-1,-0.40,-1.18,Matches,eed2427e
168,Tyrick Bodak,GK,cw Curaçao,24,2002,0,,,,,0,,0,0,,3,,,,,,,Matches,502cae35
169,Moïse Bombito,DF,ca Canada,26,2000,3,193,64,42.9,2.1,2,74,1,1,45,2,2.00,3,3,0,0.00,-1.05,Matches,c2f23fc8
170,Theo Bongonda,FWMF,cd Congo DR,30,1995,2,34,17,9.4,0.4,0,,0,2,17,2,1.50,2,1,+1,+2.65,+2.92,Matches,0da6a13e
171,Ange-Yoan Bonny,FW,ci Côte d'Ivoire,22,2003,4,234,59,65.0,2.6,3,66,0,1,35,0,1.50,4,2,+2,+0.77,+1.48,Matches,64629ba4
172,Christopher Bonsu-Baah,MF,gh Ghana,21,2004,0,,,,,0,,0,0,,4,,,,,,,Matches,b636755a
173,Jordy Bos,MFDF,au Australia,23,2002,4,308,77,79.0,3.4,4,77,2,0,,0,1.25,2,3,-1,-0.29,-1.39,Matches,8070a9fd
174,Ayyoub Bouaddi,MF,ma Morocco,18,2007,5,381,76,66.8,4.2,5,76,2,0,,1,1.60,3,3,0,0.00,-1.90,Matches,8006228f
175,Hicham Boudaoui,MF,dz Algeria,26,1999,3,128,43,35.6,1.4,2,54,0,1,20,1,1.00,0,3,-3,-2.11,-1.72,Matches,f9d5908e
176,Karim Boudiaf,MF,qa Qatar,35,1990,2,102,51,37.8,1.1,1,71,0,1,31,1,0.50,2,2,0,0.00,+4.29,Matches,a38f33fd
177,Adil Boulbina,FW,dz Algeria,23,2003,2,19,10,5.3,0.2,0,,0,2,10,2,0.00,0,0,0,0.00,+1.06,Matches,12f7f264
178,Yassine Bounou,GK,ma Morocco,35,1991,6,570,95,100.0,6.3,6,95,6,0,,0,1.83,10,6,+4,+0.63,,Matches,f6798fc3
179,Nawaf Boushal,DF,sa Saudi Arabia,26,1999,2,91,46,33.7,1.0,1,81,0,1,10,1,1.00,0,0,0,0.00,+2.01,Matches,7dc1c2c6
180,Michael Boxall,DF,nz New Zealand,37,1988,3,207,69,76.7,2.3,2,90,2,1,27,0,0.33,4,8,-4,-1.74,+1.12,Matches,6bfa0d3a
181,Chris Brady,GK,us United States,22,2004,0,,,,,0,,0,0,,5,,,,,,,Matches,a71768a2
182,Sultan Al-Brake,DF,qa Qatar,30,1996,2,141,71,52.2,1.6,1,90,1,1,51,1,0.00,1,7,-6,-3.83,-2.43,Matches,fcaa2400
183,Gleison Bremer,DF,br Brazil,29,1997,0,,,,,0,,0,0,,5,,,,,,,Matches,5fd5ed86
184,Joshua Brenet,DF,cw Curaçao,32,1994,2,179,90,66.3,2.0,2,90,1,0,,1,0.50,0,2,-2,-1.01,+4.93,Matches,2b5527c4
185,Brian Brobbey,FW,nl Netherlands,24,2002,4,223,56,57.2,2.5,3,72,0,1,6,0,2.00,7,3,+4,+1.61,+0.54,Matches,4c184730
186,Dylan Bronn,DF,tn Tunisia,30,1995,1,45,45,16.7,0.5,1,45,0,0,,2,0.00,0,2,-2,-4.00,-0.80,Matches,edd81e2a
187,Nathaniel Brown,DF,de Germany,22,2003,3,282,94,72.3,3.1,3,94,2,0,,0,2.33,8,3,+5,+1.60,+0.76,Matches,abc79c47
188,Tajon Buchanan,MF,ca Canada,27,1999,5,376,75,83.6,4.2,5,75,0,0,,0,1.40,5,5,0,0.00,-3.65,Matches,3aca6420
189,Ante Budimir,FW,hr Croatia,34,1991,3,155,52,43.1,1.7,2,55,0,1,45,1,2.00,2,0,+2,+1.16,+2.48,Matches,8f3565b3
190,Santiago Bueno,DF,uy Uruguay,27,1998,0,,,,,0,,0,0,,3,,,,,,,Matches,edc98fac
191,Song Bum-keun,GK,kr Korea Republic,28,1997,0,,,,,0,,0,0,,3,,,,,,,Matches,2455c2d6
192,Firas Al-Buraikan,FW,sa Saudi Arabia,26,2000,3,238,79,88.1,2.6,3,79,1,0,,0,0.67,1,5,-4,-1.51,-1.51,Matches,ac717a23
193,Cameron Burgess,DF,au Australia,30,1995,2,135,68,34.6,1.5,2,68,1,0,,2,1.50,2,2,0,0.00,0.00,Matches,da61ca98
194,Dan Burn,DF,eng England,34,1992,3,35,12,4.7,0.4,0,,0,3,12,5,2.00,0,2,-2,-5.14,-6.40,Matches,b2d31e83
195,Dženis Burnić,MF,ba Bosnia–Herz,28,1998,2,16,8,4.4,0.2,0,,0,2,8,2,2.00,0,0,0,0.00,+0.78,Matches,0dabaf14
196,Gustavo Caballero,FWMF,py Paraguay,24,2001,2,96,48,20.0,1.1,0,,0,2,48,3,0.50,0,1,-1,-0.94,-0.47,Matches,90a38ca7
197,Jovane Cabral,FW,cv Cabo Verde,28,1998,2,139,70,35.6,1.5,2,70,0,0,,2,0.50,1,1,0,0.00,+0.36,Matches,e34e086c
198,Liberato Cacace,DF,nz New Zealand,25,2000,3,220,73,81.5,2.4,3,73,0,0,,0,0.33,3,7,-4,-1.64,+1.96,Matches,dd86e8e4
199,Juan Cáceres,DF,py Paraguay,26,2000,5,436,87,90.8,4.8,5,87,2,0,,0,1.00,3,5,-2,-0.41,+1.63,Matches,db887bdf
200,Sebastián Cáceres,DF,uy Uruguay,26,1999,3,270,90,100.0,3.0,3,90,3,0,,0,0.67,3,4,-1,-0.33,,Matches,7091c68e
201,Jordy Caicedo,FW,ec Ecuador,28,1997,3,20,7,5.6,0.2,0,,0,3,7,1,1.33,0,0,0,0.00,+0.53,Matches,7fcb27d8
202,Moisés Caicedo,MF,ec Ecuador,24,2001,4,360,90,100.0,4.0,4,90,4,0,,0,1.00,2,4,-2,-0.50,,Matches,16264a81
203,Uğurcan Çakır,GK,tr Türkiye,30,1996,3,270,90,100.0,3.0,3,90,3,0,,0,1.00,3,5,-2,-0.67,,Matches,f63a8347
204,Duje Ćaleta-Car,DF,hr Croatia,29,1996,0,,,,,0,,0,0,,4,,,,,,,Matches,94f8d10c
205,Hakan Çalhanoğlu,MF,tr Türkiye,32,1994,2,180,90,66.7,2.0,2,90,2,0,,1,0.00,0,3,-3,-1.50,-2.50,Matches,cd0fa27b
206,Lamine Camara,MF,sn Senegal,22,2004,4,248,62,63.6,2.8,3,64,0,1,55,0,0.75,3,7,-4,-1.45,-4.62,Matches,19c2ffa4
207,Juan Camilo Portilla,MF,co Colombia,27,1998,0,,,,,0,,0,0,,5,,,,,,,Matches,ad49f7fb
