Rk,Player,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches,-9999
1179,Federico Viñas,FW,uy Uruguay,27,1998,3,192,64,71.1,2.1,2,79,0,1,34,0,0.67,3,3,0,0.00,+1.15,Matches,d30c7094
1180,Denis Višinský,FW,cz Czechia,23,2003,1,55,55,20.4,0.6,1,55,0,0,,2,0.00,0,1,-1,-1.64,-0.38,Matches,d5aac0e9
1181,Pedro Vite,MF,ec Ecuador,24,2002,4,360,90,100.0,4.0,4,90,4,0,,0,1.00,2,4,-2,-0.50,,Matches,9c146b36
1182,Vitinha,MF,pt Portugal,26,2000,5,376,75,83.6,4.2,5,75,0,0,,0,1.60,5,2,+3,+0.72,-1.71,Matches,3b029691
1183,Nikola Vlašić,MF,hr Croatia,28,1997,3,189,63,52.5,2.1,2,88,0,1,13,1,1.00,3,3,0,0.00,+0.53,Matches,aa8e289e
1184,Cristian Volpato,MF,au Australia,22,2003,3,160,53,41.0,1.8,2,65,0,1,30,1,0.67,1,1,0,0.00,0.00,Matches,72f87f25
1185,Vozinha,GK,cv Cabo Verde,40,1986,4,390,98,100.0,4.3,4,98,4,0,,0,0.75,4,5,-1,-0.23,,Matches,dc04ac24
1186,Francis de Vries,DF,nz New Zealand,31,1994,2,18,9,6.7,0.2,0,,0,2,9,1,0.00,1,2,-1,-5.00,-3.21,Matches,90a63dda
1187,Luka Vušković,DF,hr Croatia,19,2007,1,65,65,18.1,0.7,1,65,0,0,,3,0.00,2,3,-1,-1.38,-1.38,Matches,fd6bdbce
1188,Elye Wahi,FW,ci Côte d'Ivoire,23,2003,3,110,37,30.6,1.2,1,55,0,2,28,1,2.00,1,1,0,0.00,-0.36,Matches,0d7b6576
1189,Ben Waine,FW,nz New Zealand,25,2001,0,,,,,0,,0,0,,3,,,,,,,Matches,1510013c
1190,Aaron Wan-Bissaka,DF,cd Congo DR,28,1997,4,354,89,98.3,3.9,4,89,3,0,,0,1.00,5,5,0,0.00,0.00,Matches,9e525177
1191,Paul Wanner,MF,at Austria,20,2005,4,234,59,65.0,2.6,2,79,1,2,39,0,1.00,4,6,-2,-0.77,-0.05,Matches,cb64672e
1192,Tsuyoshi Watanabe,DF,jp Japan,29,1997,2,90,45,25.0,1.0,1,74,0,1,16,2,1.00,1,2,-1,-1.00,-2.33,Matches,d5f5955a
1193,Cecilio Waterman,FW,pa Panama,35,1991,2,76,38,28.1,0.8,1,62,0,1,14,1,0.00,0,0,0,0.00,+1.86,Matches,ddd5637f
1194,Joel Waterman,DF,ca Canada,30,1996,0,,,,,0,,0,0,,5,,,,,,,Matches,47ddcc22
1195,Ollie Watkins,FWMF,eng England,30,1995,2,52,26,6.9,0.6,0,,0,2,26,6,3.00,2,4,-2,-3.46,-4.75,Matches,aed3a70f
1196,Timothy Weah,MF,us United States,26,2000,2,76,38,16.9,0.8,1,57,0,1,19,3,1.50,3,3,0,0.00,-0.72,Matches,8eec784d
1197,Wout Weghorst,FW,nl Netherlands,33,1992,1,50,50,12.8,0.6,0,,0,1,50,3,1.00,1,1,0,0.00,-1.59,Matches,c4e87b8b
1198,Wéverton,GK,br Brazil,38,1987,0,,,,,0,,0,0,,5,,,,,,,Matches,81be82e9
1199,Cho Wi-je,DF,kr Korea Republic,24,2001,0,,,,,0,,0,0,,3,,,,,,,Matches,dcf21532
1200,Jacob Widell Zetterström,GK,se Sweden,27,1998,2,180,90,50.0,2.0,2,90,2,0,,2,0.50,1,4,-3,-1.50,-1.50,Matches,ac5120d8
1201,Silvan Widmer,DF,ch Switzerland,33,1993,5,175,35,29.2,1.9,1,85,0,4,23,1,2.00,2,3,-1,-0.51,-1.57,Matches,f68b64fc
